WWR-EW,WWR-NS,ShadeType,SHGC,VLT,U-value,ExWall,Ventilation,EUI (kWh/m2),ELECp (W/m2),Daylight Autonomy,Excessive Daylight,EUI Saved(-)Wasted(+),REF_ELECp,REF_DA,REF_ExcDA,OT26% - L5-Student-Com-NE,OT26% - L5-Studio-SW,OT26% - L5-Studio-SE,OT26% - L5-Studio-NW,img
25,25,2,0.45,0.53,3.5,1,0,15.08,12.07,13.04,0.19,-18.84,-38.61,-52.82,-87.25,0.39,5.18,5.09,4.82,option_155.png
35,25,2,0.45,0.53,3.5,1,0,15.93,12.65,18.15,0.28,-14.26,-35.66,-34.33,-81.21,0.49,5.08,4.98,4.59,option_156.png
45,25,2,0.45,0.53,3.5,1,0,16.72,13.11,23.33,0.38,-10.01,-33.32,-15.59,-74.50,0.59,5.05,4.95,4.52,option_157.png
25,35,2,0.45,0.53,3.5,1,0,15.25,12.2,13.79,0.2,-17.92,-37.95,-50.11,-86.58,0.42,5.15,5.05,4.79,option_158.png
35,35,2,0.45,0.53,3.5,1,0,16.09,12.75,19,0.29,-13.40,-35.15,-31.26,-80.54,0.5,5.11,4.99,4.6,option_159.png
45,35,2,0.45,0.53,3.5,1,0,16.88,13.23,24.11,0.38,-9.15,-32.71,-12.77,-74.50,0.63,5,4.93,4.54,option_160.png
25,45,2,0.45,0.53,3.5,1,0,15.42,12.3,14.46,0.2,-17.01,-37.44,-47.68,-86.58,0.43,5.13,5.06,4.71,option_161.png
35,45,2,0.45,0.53,3.5,1,0,16.24,12.83,19.74,0.29,-12.59,-34.74,-28.58,-80.54,0.51,5.11,5.02,4.62,option_162.png
45,45,2,0.45,0.53,3.5,1,0,17.03,13.34,24.7,0.4,-8.34,-32.15,-10.64,-73.15,0.64,5.01,4.91,4.53,option_163.png
25,25,0,0.25,0.33,2.5,2.8,0,16.6,15.34,13.72,0.9,-10.66,-21.97,-50.36,-39.60,2.6,8.69,8.01,8.89,option_164.png
35,25,0,0.25,0.33,2.5,2.8,0,17.14,16.18,21.79,1.26,-7.75,-17.70,-21.16,-15.44,3.17,8.96,8.45,9.26,option_165.png
45,25,0,0.25,0.33,2.5,2.8,0,17.7,17.31,29.91,1.63,-4.74,-11.95,8.21,9.40,3.98,9.19,8.62,9.65,option_166.png
25,35,0,0.25,0.33,2.5,2.8,0,16.62,15.9,15.09,0.94,-10.55,-19.13,-45.41,-36.91,2.64,8.52,7.95,8.93,option_167.png
35,35,0,0.25,0.33,2.5,2.8,0,17.19,16.37,22.97,1.29,-7.48,-16.73,-16.90,-13.42,3.21,8.92,8.33,9.28,option_168.png
45,35,0,0.25,0.33,2.5,2.8,0,17.77,17.55,31.08,1.67,-4.36,-10.73,12.45,12.08,4.1,9.16,8.53,9.69,option_169.png
25,45,0,0.25,0.33,2.5,2.8,0,16.72,15.69,16.19,0.96,-10.01,-20.19,-41.43,-35.57,2.66,8.61,7.95,8.93,option_170.png
35,45,0,0.25,0.33,2.5,2.8,0,17.26,16.45,24.01,1.33,-7.10,-16.33,-13.13,-10.74,3.29,8.92,8.26,9.25,option_171.png
45,45,0,0.25,0.33,2.5,2.8,0,17.84,17.78,31.85,1.69,-3.98,-9.56,15.23,13.42,4.22,9.09,8.5,9.76,option_172.png
25,25,1,0.25,0.33,2.5,2.8,0,16.25,14.94,8.05,0.39,-12.54,-24.01,-70.88,-73.83,1.93,7.09,6.94,7.64,option_173.png
35,25,1,0.25,0.33,2.5,2.8,0,16.63,16.07,13.16,0.46,-10.50,-18.26,-52.39,-69.13,2.25,6.94,6.88,7.55,option_174.png
45,25,1,0.25,0.33,2.5,2.8,0,17.1,15.68,20.55,0.55,-7.97,-20.24,-25.65,-63.09,2.6,6.97,6.99,7.4,option_175.png
25,35,1,0.25,0.33,2.5,2.8,0,16.31,15,9.49,0.41,-12.22,-23.70,-65.67,-72.48,2,7.08,6.97,7.65,option_176.png
35,35,1,0.25,0.33,2.5,2.8,0,16.74,15.27,14.66,0.49,-9.90,-22.33,-46.96,-67.11,2.27,7.05,7,7.55,option_177.png
45,35,1,0.25,0.33,2.5,2.8,0,17.16,15.86,21.94,0.58,-7.64,-19.33,-20.62,-61.07,2.68,6.84,6.93,7.37,option_178.png
25,45,1,0.25,0.33,2.5,2.8,0,16.36,15.1,10.73,0.45,-11.95,-23.19,-61.18,-69.80,2.02,7.04,6.92,7.65,option_179.png
35,45,1,0.25,0.33,2.5,2.8,0,16.77,15.72,15.85,0.53,-9.74,-20.04,-42.66,-64.43,2.32,6.91,6.93,7.44,option_180.png
45,45,1,0.25,0.33,2.5,2.8,0,17.22,15.93,22.94,0.61,-7.32,-18.97,-17.00,-59.06,2.71,6.77,6.87,7.36,option_181.png
25,25,2,0.25,0.33,2.5,2.8,0,15.84,12.35,7.13,0.07,-14.75,-37.18,-74.20,-95.30,0.95,5.8,5.57,5.58,option_182.png
35,25,2,0.25,0.33,2.5,2.8,0,16.21,12.53,10.3,0.08,-12.76,-36.27,-62.74,-94.63,0.86,5.43,5.32,5.1,option_183.png
45,25,2,0.25,0.33,2.5,2.8,0,16.56,12.72,13.63,0.1,-10.87,-35.30,-50.69,-93.29,0.83,5.14,4.98,4.79,option_184.png
25,35,2,0.25,0.33,2.5,2.8,0,15.93,12.4,7.6,0.07,-14.26,-36.93,-72.50,-95.30,0.92,5.75,5.57,5.49,option_185.png
35,35,2,0.25,0.33,2.5,2.8,0,16.29,12.59,10.89,0.09,-12.33,-35.96,-60.60,-93.96,0.84,5.35,5.18,5.07,option_186.png
45,35,2,0.25,0.33,2.5,2.8,0,16.64,12.77,14.2,0.11,-10.44,-35.05,-48.63,-92.62,0.83,5.09,4.93,4.75,option_187.png
25,45,2,0.25,0.33,2.5,2.8,0,16.01,12.46,8.13,0.07,-13.83,-36.62,-70.59,-95.30,0.88,5.65,5.54,5.37,option_188.png
35,45,2,0.25,0.33,2.5,2.8,0,16.37,12.64,11.42,0.09,-11.89,-35.71,-58.68,-93.96,0.84,5.32,5.13,4.99,option_189.png
45,45,2,0.25,0.33,2.5,2.8,0,16.73,12.82,14.73,0.11,-9.96,-34.79,-46.71,-92.62,0.83,4.99,4.87,4.69,option_190.png
25,25,0,0.35,0.43,2.5,2.8,0,16.85,16.27,20.89,1.27,-9.31,-17.24,-24.42,-14.77,3.84,10,9.67,10.61,option_191.png
35,25,0,0.35,0.43,2.5,2.8,0,17.56,17.72,31.48,1.75,-5.49,-9.87,13.89,17.45,5.4,10.62,10.35,11.75,option_192.png
45,25,0,0.35,0.43,2.5,2.8,0,18.28,20.3,40.03,2.27,-1.61,3.26,44.83,52.35,7.02,11.63,11.43,13.3,option_193.png
25,35,0,0.35,0.43,2.5,2.8,0,16.92,16.44,22.26,1.31,-8.93,-16.38,-19.46,-12.08,3.94,10.03,9.69,10.89,option_194.png
35,35,0,0.35,0.43,2.5,2.8,0,17.64,17.94,32.53,1.8,-5.06,-8.75,17.69,20.81,5.56,10.68,10.38,12,option_195.png
45,35,0,0.35,0.43,2.5,2.8,0,18.35,20.45,40.99,2.31,-1.24,4.02,48.30,55.03,7.28,11.74,11.51,13.68,option_196.png
25,45,0,0.35,0.43,2.5,2.8,0,16.98,16.66,23.34,1.35,-8.61,-15.26,-15.56,-9.40,4.13,10.03,9.7,11.15,option_197.png
35,45,0,0.35,0.43,2.5,2.8,0,17.71,18.06,33.5,1.85,-4.68,-8.14,21.20,24.16,5.75,10.76,10.41,12.26,option_198.png
45,45,0,0.35,0.43,2.5,2.8,0,18.43,20.59,41.71,2.36,-0.81,4.73,50.90,58.39,7.55,11.93,11.6,14.05,option_199.png
25,25,1,0.35,0.43,2.5,2.8,0,16.4,15.82,13.47,0.61,-11.73,-19.53,-51.27,-59.06,2.92,8.62,8.32,8.97,option_200.png
35,25,1,0.35,0.43,2.5,2.8,0,16.89,15.99,22.83,0.74,-9.10,-18.67,-17.40,-50.34,3.6,8.95,8.66,9.16,option_201.png
45,25,1,0.35,0.43,2.5,2.8,0,17.38,17.03,31.67,0.88,-6.46,-13.38,14.58,-40.94,4.38,9.03,8.85,9.34,option_202.png
25,35,1,0.35,0.43,2.5,2.8,0,16.49,15.56,15.21,0.65,-11.25,-20.85,-44.97,-56.38,3.13,8.8,8.38,9.11,option_203.png
35,35,1,0.35,0.43,2.5,2.8,0,16.94,16.38,24.22,0.78,-8.83,-16.68,-12.37,-47.65,3.66,8.95,8.62,9.21,option_204.png
45,35,1,0.35,0.43,2.5,2.8,0,17.45,17.26,32.86,0.92,-6.08,-12.21,18.89,-38.26,4.58,9.04,8.81,9.43,option_205.png
25,45,1,0.35,0.43,2.5,2.8,0,16.56,15.72,16.54,0.69,-10.87,-20.04,-40.16,-53.69,3.25,8.78,8.37,9.28,option_206.png
35,45,1,0.35,0.43,2.5,2.8,0,17.01,16.36,25.48,0.82,-8.45,-16.79,-7.81,-44.97,3.84,9,8.65,9.41,option_207.png
45,45,1,0.35,0.43,2.5,2.8,0,17.51,17.43,33.86,0.96,-5.76,-11.34,22.50,-35.57,4.78,9,8.8,9.65,option_208.png
25,25,2,0.35,0.43,2.5,2.8,0,15.93,12.55,10.06,0.1,-14.26,-36.16,-63.60,-93.29,1.12,6.31,6.12,6.18,option_209.png
35,25,2,0.35,0.43,2.5,2.8,0,16.32,12.8,14.33,0.13,-12.16,-34.89,-48.15,-91.28,1.05,5.98,5.78,5.66,option_210.png
45,25,2,0.35,0.43,2.5,2.8,0,16.7,13.04,18.64,0.17,-10.12,-33.67,-32.56,-88.59,1.02,5.65,5.58,5.31,option_211.png
25,35,2,0.35,0.43,2.5,2.8,0,16.02,12.62,10.69,0.1,-13.78,-35.81,-61.32,-93.29,1.12,6.24,6.04,6.06,option_212.png
35,35,2,0.35,0.43,2.5,2.8,0,16.41,12.87,14.99,0.13,-11.68,-34.54,-45.77,-91.28,1.05,5.91,5.79,5.59,option_213.png
45,35,2,0.35,0.43,2.5,2.8,0,16.78,13.11,19.37,0.17,-9.69,-33.32,-29.92,-88.59,1.02,5.64,5.5,5.25,option_214.png
25,45,2,0.35,0.43,2.5,2.8,0,16.11,12.69,11.41,0.1,-13.29,-35.45,-58.72,-93.29,1.1,6.21,6,5.95,option_215.png
35,45,2,0.35,0.43,2.5,2.8,0,16.49,12.93,15.7,0.13,-11.25,-34.23,-43.20,-91.28,1.04,5.87,5.71,5.55,option_216.png
45,45,2,0.35,0.43,2.5,2.8,0,16.86,13.17,19.94,0.17,-9.26,-33.01,-27.86,-88.59,1,5.61,5.49,5.18,option_217.png
25,25,0,0.45,0.53,2.5,2.8,0,17.13,17.68,28.25,1.52,-7.80,-10.07,2.21,2.01,5.33,11.38,10.79,12.87,option_218.png
35,25,0,0.45,0.53,2.5,2.8,0,18.09,19.44,39.43,2.11,-2.64,-1.12,42.66,41.61,8.28,13.66,12.51,14.99,option_219.png
45,25,0,0.45,0.53,2.5,2.8,0,19.02,22.77,48.42,2.73,2.37,15.82,75.18,83.22,11.84,16.31,15.17,18.09,option_220.png
25,35,0,0.45,0.53,2.5,2.8,0,17.26,17.35,29.53,1.57,-7.10,-11.75,6.84,5.37,5.73,11.63,10.99,13.17,option_221.png
35,35,0,0.45,0.53,2.5,2.8,0,18.17,19.64,40.49,2.16,-2.21,-0.10,46.49,44.97,8.68,13.78,12.73,15.49,option_222.png
45,35,0,0.45,0.53,2.5,2.8,0,19.12,22.96,49.23,2.78,2.91,16.79,78.11,86.58,12.65,16.55,15.41,18.71,option_223.png
25,45,0,0.45,0.53,2.5,2.8,0,17.36,17.53,30.65,1.63,-6.57,-10.83,10.89,9.40,6.2,11.71,11.06,13.62,option_224.png
35,45,0,0.45,0.53,2.5,2.8,0,18.24,20.14,41.39,2.22,-1.83,2.44,49.75,48.99,9.2,13.88,12.82,16.08,option_225.png
45,45,0,0.45,0.53,2.5,2.8,0,19.21,23.13,49.88,2.84,3.39,17.65,80.46,90.60,13.36,16.86,15.66,19.61,option_226.png
25,25,1,0.45,0.53,2.5,2.8,0,16.56,16.3,20.58,0.77,-10.87,-17.09,-25.54,-48.32,3.97,9.49,9.47,10.26,option_227.png
35,25,1,0.45,0.53,2.5,2.8,0,17.14,17.11,31.65,0.94,-7.75,-12.97,14.51,-36.91,5.14,9.95,10.03,10.84,option_228.png
45,25,1,0.45,0.53,2.5,2.8,0,17.74,18.51,40.65,1.12,-4.52,-5.85,47.07,-24.83,6.59,10.3,10.65,11.61,option_229.png
25,35,1,0.45,0.53,2.5,2.8,0,16.64,16.46,22.18,0.81,-10.44,-16.28,-19.75,-45.64,4.2,9.59,9.54,10.5,option_230.png
35,35,1,0.45,0.53,2.5,2.8,0,17.22,17.23,32.95,0.99,-7.32,-12.36,19.21,-33.56,5.45,9.99,10.14,11.2,option_231.png
45,35,1,0.45,0.53,2.5,2.8,0,17.82,18.68,41.84,1.17,-4.09,-4.98,51.37,-21.48,7.05,10.38,10.73,11.95,option_232.png
25,45,1,0.45,0.53,2.5,2.8,0,16.71,16.46,23.52,0.87,-10.06,-16.28,-14.91,-41.61,4.46,9.7,9.65,10.95,option_233.png
35,45,1,0.45,0.53,2.5,2.8,0,17.29,17.53,33.9,1.04,-6.94,-10.83,22.65,-30.20,5.8,9.98,10.22,11.43,option_234.png
45,45,1,0.45,0.53,2.5,2.8,0,17.9,18.77,42.6,1.23,-3.66,-4.53,54.12,-17.45,7.45,10.41,10.78,12.32,option_235.png
25,25,2,0.45,0.53,2.5,2.8,0,16.01,12.76,12.91,0.19,-13.83,-35.10,-53.29,-87.25,1.29,6.95,6.56,6.76,option_236.png
35,25,2,0.45,0.53,2.5,2.8,0,16.43,13.06,18.25,0.28,-11.57,-33.57,-33.97,-81.21,1.34,6.51,6.29,6.3,option_237.png
45,25,2,0.45,0.53,2.5,2.8,0,16.98,14.21,23.27,0.38,-8.61,-27.72,-15.81,-74.50,1.35,5.97,5.73,5.87,option_238.png
25,35,2,0.45,0.53,2.5,2.8,0,16.11,12.84,13.78,0.19,-13.29,-34.69,-50.14,-87.25,1.29,6.88,6.46,6.66,option_239.png
35,35,2,0.45,0.53,2.5,2.8,0,16.51,13.14,18.92,0.28,-11.14,-33.16,-31.55,-81.21,1.36,6.48,6.28,6.19,option_240.png
45,35,2,0.45,0.53,2.5,2.8,0,17.09,14.45,24.12,0.38,-8.02,-26.50,-12.74,-74.50,1.35,5.9,5.7,5.7,option_241.png
25,45,2,0.45,0.53,2.5,2.8,0,16.2,12.92,14.44,0.21,-12.81,-34.28,-47.76,-85.91,1.35,6.85,6.45,6.61,option_242.png
35,45,2,0.45,0.53,2.5,2.8,0,16.61,13.22,19.64,0.29,-10.60,-32.76,-28.94,-80.54,1.36,6.43,6.26,6.06,option_243.png
45,45,2,0.45,0.53,2.5,2.8,0,17.25,14.94,24.78,0.4,-7.16,-24.01,-10.35,-73.15,1.35,5.72,5.51,5.58,option_244.png
25,25,0,0.25,0.33,3.5,2.8,0,17.13,15.57,13.77,0.91,-7.80,-20.80,-50.18,-38.93,2.32,7.57,7.1,8.15,option_245.png
35,25,0,0.25,0.33,3.5,2.8,0,17.83,16.5,21.76,1.26,-4.04,-16.07,-21.27,-15.44,2.88,7.66,7.34,8.32,option_246.png
45,25,0,0.25,0.33,3.5,2.8,0,18.59,17.89,30.01,1.63,0.05,-9.00,8.57,9.40,3.68,7.65,7.43,8.58,option_247.png
25,35,0,0.25,0.33,3.5,2.8,0,17.21,15.76,15.08,0.93,-7.37,-19.84,-45.44,-37.58,2.35,7.41,7.03,8.07,option_248.png
35,35,0,0.25,0.33,3.5,2.8,0,17.94,16.64,23.07,1.29,-3.44,-15.36,-16.53,-13.42,2.97,7.43,7.2,8.25,option_249.png
45,35,0,0.25,0.33,3.5,2.8,0,18.68,18,30.94,1.66,0.54,-8.44,11.94,11.41,3.74,7.58,7.35,8.44,option_250.png
25,45,0,0.25,0.33,3.5,2.8,0,17.3,15.97,16.19,0.97,-6.89,-18.77,-41.43,-34.90,2.39,7.24,6.93,7.9,option_251.png
35,45,0,0.25,0.33,3.5,2.8,0,18.03,16.76,24.04,1.32,-2.96,-14.75,-13.02,-11.41,3.04,7.33,7.08,8.07,option_252.png
45,45,0,0.25,0.33,3.5,2.8,0,18.77,18.07,31.85,1.69,1.02,-8.09,15.23,13.42,3.88,7.48,7.24,8.39,option_253.png
25,25,1,0.25,0.33,3.5,2.8,0,16.78,15.17,8.06,0.39,-9.69,-22.84,-70.84,-73.83,1.79,6.14,6.16,6.61,option_254.png
35,25,1,0.25,0.33,3.5,2.8,0,17.38,15.38,13.13,0.47,-6.46,-21.77,-52.50,-68.46,1.97,5.9,6.16,6.23,option_255.png
45,25,1,0.25,0.33,3.5,2.8,0,17.97,16.06,20.5,0.55,-3.28,-18.31,-25.83,-63.09,2.21,5.68,5.99,5.84,option_256.png
25,35,1,0.25,0.33,3.5,2.8,0,16.88,15.27,9.51,0.41,-9.15,-22.33,-65.59,-72.48,1.83,5.96,6.11,6.63,option_257.png
35,35,1,0.25,0.33,3.5,2.8,0,17.46,15.54,14.69,0.5,-6.03,-20.96,-46.85,-66.44,2.01,5.8,6.02,6.12,option_258.png
45,35,1,0.25,0.33,3.5,2.8,0,18.06,16.24,21.82,0.58,-2.80,-17.40,-21.06,-61.07,2.2,5.63,5.91,5.8,option_259.png
25,45,1,0.25,0.33,3.5,2.8,0,17.02,15.14,10.8,0.44,-8.40,-22.99,-60.93,-70.47,1.85,5.97,6.02,6.56,option_260.png
35,45,1,0.25,0.33,3.5,2.8,0,17.55,15.64,15.91,0.52,-5.54,-20.45,-42.44,-65.10,2.04,5.73,5.96,6.04,option_261.png
45,45,1,0.25,0.33,3.5,2.8,0,18.14,16.38,22.97,0.61,-2.37,-16.68,-16.90,-59.06,2.29,5.57,5.87,5.81,option_262.png
25,25,2,0.25,0.33,3.5,2.8,0,16.38,12.59,7.16,0.07,-11.84,-35.96,-74.10,-95.30,0.91,5.27,5.11,5.03,option_263.png
35,25,2,0.25,0.33,3.5,2.8,0,16.91,12.84,10.37,0.08,-8.99,-34.69,-62.48,-94.63,0.88,4.91,4.75,4.7,option_264.png
45,25,2,0.25,0.33,3.5,2.8,0,17.44,13.09,13.64,0.1,-6.14,-33.42,-50.65,-93.29,0.87,4.73,4.59,4.45,option_265.png
25,35,2,0.25,0.33,3.5,2.8,0,16.5,12.66,7.62,0.07,-11.19,-35.61,-72.43,-95.30,0.89,5.26,5.07,4.98,option_266.png
35,35,2,0.25,0.33,3.5,2.8,0,17.04,12.91,10.88,0.09,-8.29,-34.33,-60.64,-93.96,0.87,4.85,4.69,4.6,option_267.png
45,35,2,0.25,0.33,3.5,2.8,0,17.56,13.16,14.16,0.11,-5.49,-33.06,-48.77,-92.62,0.86,4.7,4.54,4.46,option_268.png
25,45,2,0.25,0.33,3.5,2.8,0,16.63,12.73,8.12,0.07,-10.50,-35.25,-70.62,-95.30,0.89,5.17,5.05,4.89,option_269.png
35,45,2,0.25,0.33,3.5,2.8,0,17.15,12.98,11.41,0.09,-7.70,-33.98,-58.72,-93.96,0.87,4.86,4.66,4.54,option_270.png
45,45,2,0.25,0.33,3.5,2.8,0,17.67,13.23,14.7,0.11,-4.90,-32.71,-46.82,-92.62,0.84,4.68,4.54,4.41,option_271.png
25,25,0,0.35,0.43,3.5,2.8,0,17.36,16.42,20.89,1.26,-6.57,-16.48,-24.42,-15.44,3.53,9.24,8.72,9.49,option_272.png
35,25,0,0.35,0.43,3.5,2.8,0,18.23,18.02,31.57,1.76,-1.88,-8.34,14.22,18.12,4.94,9.75,9.3,10.25,option_273.png
45,25,0,0.35,0.43,3.5,2.8,0,19.11,20.71,40.07,2.27,2.85,5.34,44.97,52.35,6.7,10.54,10.13,11.4,option_274.png
25,35,0,0.35,0.43,3.5,2.8,0,17.46,16.71,22.21,1.31,-6.03,-15.01,-19.65,-12.08,3.62,9.16,8.63,9.61,option_275.png
35,35,0,0.35,0.43,3.5,2.8,0,18.33,18.31,32.52,1.8,-1.35,-6.87,17.66,20.81,5.21,9.71,9.27,10.42,option_276.png
45,35,0,0.35,0.43,3.5,2.8,0,19.2,20.78,40.95,2.31,3.34,5.70,48.15,55.03,6.91,10.64,10.15,11.79,option_277.png
25,45,0,0.35,0.43,3.5,2.8,0,17.55,16.81,23.38,1.35,-5.54,-14.50,-15.41,-9.40,3.8,9.2,8.61,9.83,option_278.png
35,45,0,0.35,0.43,3.5,2.8,0,18.43,18.52,33.48,1.85,-0.81,-5.80,21.13,24.16,5.42,9.82,9.21,10.68,option_279.png
45,45,0,0.35,0.43,3.5,2.8,0,19.3,20.95,41.78,2.36,3.88,6.56,51.16,58.39,7.23,10.74,10.17,11.99,option_280.png
25,25,1,0.35,0.43,3.5,2.8,0,16.92,15.73,13.52,0.61,-8.93,-19.99,-51.09,-59.06,2.72,7.56,7.42,8.15,option_281.png
35,25,1,0.35,0.43,3.5,2.8,0,17.55,16.34,22.88,0.74,-5.54,-16.89,-17.22,-50.34,3.28,7.56,7.61,8.21,option_282.png
45,25,1,0.35,0.43,3.5,2.8,0,18.23,17.64,31.59,0.88,-1.88,-10.27,14.29,-40.94,4.11,7.29,7.63,8.17,option_283.png
25,35,1,0.35,0.43,3.5,2.8,0,17.02,15.84,15.28,0.64,-8.40,-19.43,-44.72,-57.05,2.82,7.48,7.35,8.21,option_284.png
35,35,1,0.35,0.43,3.5,2.8,0,17.66,16.71,24.27,0.78,-4.95,-15.01,-12.19,-47.65,3.45,7.47,7.51,8.12,option_285.png
45,35,1,0.35,0.43,3.5,2.8,0,18.33,17.84,32.83,0.92,-1.35,-9.26,18.78,-38.26,4.29,7.25,7.59,8.17,option_286.png
25,45,1,0.35,0.43,3.5,2.8,0,17.08,16.34,16.53,0.69,-8.07,-16.89,-40.20,-53.69,2.99,7.37,7.25,8.22,option_287.png
35,45,1,0.35,0.43,3.5,2.8,0,17.74,16.74,25.34,0.82,-4.52,-14.85,-8.32,-44.97,3.58,7.42,7.56,8.18,option_288.png
45,45,1,0.35,0.43,3.5,2.8,0,18.4,17.65,33.69,0.96,-0.97,-10.22,21.89,-35.57,4.42,7.27,7.58,8.23,option_289.png
25,25,2,0.35,0.43,3.5,2.8,0,16.47,12.79,10.03,0.1,-11.36,-34.94,-63.71,-93.29,1.11,5.7,5.64,5.48,option_290.png
35,25,2,0.35,0.43,3.5,2.8,0,17.02,13.11,14.37,0.13,-8.40,-33.32,-48.01,-91.28,1.03,5.39,5.17,5.08,option_291.png
45,25,2,0.35,0.43,3.5,2.8,0,17.56,13.41,18.57,0.17,-5.49,-31.79,-32.81,-88.59,1.03,5.14,4.98,4.82,option_292.png
25,35,2,0.35,0.43,3.5,2.8,0,16.59,12.88,10.78,0.1,-10.71,-34.49,-61.00,-93.29,1.1,5.58,5.56,5.35,option_293.png
35,35,2,0.35,0.43,3.5,2.8,0,17.14,13.19,15.04,0.13,-7.75,-32.91,-45.59,-91.28,1.03,5.33,5.17,5.03,option_294.png
45,35,2,0.35,0.43,3.5,2.8,0,17.68,13.48,19.32,0.17,-4.84,-31.43,-30.10,-88.59,1.03,5.16,4.92,4.75,option_295.png
25,45,2,0.35,0.43,3.5,2.8,0,16.72,12.96,11.4,0.1,-10.01,-34.08,-58.76,-93.29,1.07,5.57,5.47,5.27,option_296.png
35,45,2,0.35,0.43,3.5,2.8,0,17.26,13.26,15.69,0.14,-7.10,-32.55,-43.23,-90.60,1.03,5.25,5.1,4.93,option_297.png
45,45,2,0.35,0.43,3.5,2.8,0,17.78,13.49,19.92,0.17,-4.31,-31.38,-27.93,-88.59,1.02,5.11,4.94,4.76,option_298.png
25,25,0,0.45,0.53,3.5,2.8,0,17.67,17.44,28.33,1.52,-4.90,-11.29,2.50,2.01,5.23,10.41,10.1,11.56,option_299.png
35,25,0,0.45,0.53,3.5,2.8,0,18.67,20.56,39.48,2.11,0.48,4.58,42.84,41.61,7.43,11.8,11.4,13.62,option_300.png
45,25,0,0.45,0.53,3.5,2.8,0,19.8,23.2,48.39,2.73,6.57,18.01,75.07,83.22,10.48,14.14,13.55,16.14,option_301.png
25,35,0,0.45,0.53,3.5,2.8,0,17.77,17.65,29.56,1.57,-4.36,-10.22,6.95,5.37,5.56,10.49,10.21,11.91,option_302.png
35,35,0,0.45,0.53,3.5,2.8,0,18.79,20.79,40.41,2.17,1.13,5.75,46.20,45.64,7.82,11.87,11.53,14.1,option_303.png
45,35,0,0.45,0.53,3.5,2.8,0,19.91,23.54,49.21,2.79,7.16,19.74,78.04,87.25,11.03,14.43,13.85,16.82,option_304.png
25,45,0,0.45,0.53,3.5,2.8,0,17.88,17.85,30.7,1.63,-3.77,-9.21,11.07,9.40,5.83,10.56,10.25,12.2,option_305.png
35,45,0,0.45,0.53,3.5,2.8,0,18.91,20.39,41.32,2.22,1.78,3.71,49.49,48.99,8.38,12.18,11.6,14.7,option_306.png
45,45,0,0.45,0.53,3.5,2.8,0,20.03,23.77,49.97,2.84,7.80,20.91,80.79,90.60,11.54,14.55,13.97,17.43,option_307.png
25,25,1,0.45,0.53,3.5,2.8,0,17.07,16.28,20.57,0.77,-8.13,-17.19,-25.58,-48.32,3.61,8.95,8.6,9.32,option_308.png
35,25,1,0.45,0.53,3.5,2.8,0,17.8,17.4,31.52,0.95,-4.20,-11.50,14.04,-36.24,4.87,9.08,8.89,9.6,option_309.png
45,25,1,0.45,0.53,3.5,2.8,0,18.55,19.36,40.65,1.12,-0.16,-1.53,47.07,-24.83,6.37,9.29,9.35,9.91,option_310.png
25,35,1,0.45,0.53,3.5,2.8,0,17.17,16.37,22.12,0.81,-7.59,-16.73,-19.97,-45.64,3.85,9,8.64,9.49,option_311.png
35,35,1,0.45,0.53,3.5,2.8,0,17.9,17.97,32.87,0.99,-3.66,-8.60,18.92,-33.56,5.16,9.06,8.79,9.78,option_312.png
45,35,1,0.45,0.53,3.5,2.8,0,18.63,19.74,41.78,1.17,0.27,0.41,51.16,-21.48,6.69,9.29,9.3,10.15,option_313.png
25,45,1,0.45,0.53,3.5,2.8,0,17.27,16.55,23.55,0.87,-7.05,-15.82,-14.80,-41.61,4.12,8.98,8.61,9.74,option_314.png
35,45,1,0.45,0.53,3.5,2.8,0,17.99,18.07,33.98,1.04,-3.18,-8.09,22.94,-30.20,5.47,9.12,8.78,10.06,option_315.png
45,45,1,0.45,0.53,3.5,2.8,0,18.73,19.92,42.59,1.23,0.81,1.32,54.09,-17.45,7.04,9.29,9.44,10.46,option_316.png
25,25,2,0.45,0.53,3.5,2.8,0,16.55,13,12.88,0.19,-10.93,-33.88,-53.40,-87.25,1.24,6.15,5.89,5.87,option_317.png
35,25,2,0.45,0.53,3.5,2.8,0,17.12,13.36,18.17,0.28,-7.86,-32.04,-34.26,-81.21,1.27,5.76,5.7,5.47,option_318.png
45,25,2,0.45,0.53,3.5,2.8,0,17.91,15.21,23.24,0.38,-3.61,-22.63,-15.92,-74.50,1.3,5.08,4.83,4.87,option_319.png
25,35,2,0.45,0.53,3.5,2.8,0,16.68,13.09,13.73,0.19,-10.23,-33.42,-50.33,-87.25,1.27,6.11,5.86,5.78,option_320.png
35,35,2,0.45,0.53,3.5,2.8,0,17.4,14.23,19,0.28,-6.35,-27.62,-31.26,-81.21,1.3,5.43,5.34,5.33,option_321.png
45,35,2,0.45,0.53,3.5,2.8,0,18.03,15.31,24.08,0.4,-2.96,-22.13,-12.88,-73.15,1.3,5.08,4.82,4.81,option_322.png
25,45,2,0.45,0.53,3.5,2.8,0,16.8,13.18,14.55,0.2,-9.58,-32.96,-47.36,-86.58,1.28,5.99,5.86,5.71,option_323.png
35,45,2,0.45,0.53,3.5,2.8,0,17.51,14.24,19.81,0.29,-5.76,-27.57,-28.33,-80.54,1.31,5.41,5.31,5.31,option_324.png
