WWR-EW,WWR-NS,ShadeType,SHGC,VLT,U-value,ExWall,Ventilation,EUI (kWh/m2),ELECp (W/m2),Daylight Autonomy,Excessive Daylight,EUI Saved(-)Wasted(+),REF_ELECp,REF_DA,REF_ExcDA,OT26% - L5-Student-Com-NE,OT26% - L5-Studio-SW,OT26% - L5-Studio-SE,OT26% - L5-Studio-NW,img
45,35,0,0.35,0.43,2.5,1,0,17.49,19.17,41.02,2.31,-5.87,-2.49,48.41,55.03,6.3,12.18,11.56,13.72,option_34.png
25,45,0,0.35,0.43,2.5,1,0,15.69,15.75,23.39,1.35,-15.55,-19.89,-15.38,-9.40,3.16,10.06,9.86,11.26,option_35.png
35,45,0,0.35,0.43,2.5,1,0,16.62,17.25,33.41,1.85,-10.55,-12.26,20.88,24.16,4.65,10.82,10.55,12.55,option_36.png
45,45,0,0.35,0.43,2.5,1,0,17.54,19.79,41.71,2.36,-5.60,0.66,50.90,58.39,6.69,12.03,11.51,14.06,option_37.png
25,25,1,0.35,0.43,2.5,1,0,15.01,14.47,13.49,0.61,-19.21,-26.40,-51.19,-59.06,1.75,8.53,8.57,8.77,option_38.png
35,25,1,0.35,0.43,2.5,1,0,15.7,15.26,22.86,0.74,-15.50,-22.38,-17.29,-50.34,2.64,8.93,9.08,9.12,option_39.png
45,25,1,0.35,0.43,2.5,1,0,16.4,16.39,31.62,0.88,-11.73,-16.63,14.40,-40.94,3.53,9.03,9.26,9.36,option_40.png
25,35,1,0.35,0.43,2.5,1,0,15.09,14.76,15.26,0.65,-18.78,-24.92,-44.79,-56.38,1.88,8.63,8.6,9.01,option_41.png
35,35,1,0.35,0.43,2.5,1,0,15.77,15.77,24.33,0.78,-15.12,-19.79,-11.98,-47.65,2.82,8.85,9.01,9.29,option_42.png
45,35,1,0.35,0.43,2.5,1,0,16.5,16.52,32.66,0.92,-11.19,-15.97,18.16,-38.26,3.78,9.02,9.24,9.5,option_43.png
25,45,1,0.35,0.43,2.5,1,0,15.2,14.91,16.53,0.69,-18.19,-24.16,-40.20,-53.69,2.01,8.64,8.58,9.34,option_44.png
35,45,1,0.35,0.43,2.5,1,0,15.9,15.46,25.49,0.82,-14.42,-21.36,-7.78,-44.97,3.11,8.95,9.03,9.5,option_45.png
45,45,1,0.35,0.43,2.5,1,0,16.61,16.64,33.78,0.96,-10.60,-15.36,22.21,-35.57,3.96,9.04,9.17,9.66,option_46.png
